22;0,12;20;0,11;12;0,09;6;0,07;20;0,12;21;0,14;15;0,13;5;0,06;9;0,09;21;0,19;17;0,20
0;0;0,00
0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
241138
0;762;0,50
129;0,77;45;0,45;54;0,46;93;0,64;72;0,48;63;0,33;53;0,60;61;0,43;51;0,42;96;0,45;45;0,46
0;1035;0,72
68;0,60;68;0,74;83;0,98;86;0,73;94;0,55;119;0,79;66;0,85;119;0,96;131;0,72;95;0,55;106;0,69
0;520;0,32
55;0,30;46;0,30;60;0,30;38;0,30;49;0,39;41;0,25;42;0,29;33;0,32;53;0,40;37;0,29;66;0,37
0;736;0,48
